name,ヒト,マウス,ウマ,アカパンカビ,カミツキガメ,サバクトビバッタ,セイヨウカボチャ,テトラヒメナ,デバリオマイセス・ハンセニイ,コムギ,シンジュサン,ミミズ,モンスーンテナガエビ,トウモロコシ,カツオ,クラミドモナス,ニゲラ,ガーネットガラゴ,マガモ,アメリカウシガエル
ヒト,565.0,522.0,511.0,323.0,492.0,422.0,314.0,99.0,307.0,315.0,401.0,370.0,417.0,301.0,452.0,289.0,296.0,505.0,509.0,475.0
マウス,522.0,565.0,532.0,336.0,518.0,437.0,292.0,107.0,322.0,313.0,418.0,402.0,442.0,294.0,474.0,304.0,293.0,548.0,533.0,518.0
ウマ,511.0,532.0,567.0,338.0,505.0,437.0,298.0,104.0,324.0,303.0,406.0,389.0,436.0,284.0,465.0,286.0,286.0,515.0,514.0,493.0
アカパンカビ,323.0,336.0,338.0,583.0,326.0,408.0,343.0,162.0,391.0,337.0,384.0,381.0,295.0,338.0,346.0,324.0,344.0,329.0,345.0,323.0
カミツキガメ,492.0,518.0,505.0,326.0,557.0,425.0,298.0,124.0,319.0,293.0,405.0,380.0,425.0,292.0,464.0,299.0,282.0,501.0,533.0,506.0
サバクトビバッタ,422.0,437.0,437.0,408.0,425.0,582.0,356.0,190.0,368.0,356.0,503.0,460.0,401.0,353.0,414.0,352.0,361.0,420.0,441.0,409.0
セイヨウカボチャ,314.0,292.0,298.0,343.0,298.0,356.0,597.0,181.0,320.0,523.0,342.0,324.0,262.0,549.0,289.0,430.0,522.0,292.0,297.0,267.0
テトラヒメナ,99.0,107.0,104.0,162.0,124.0,190.0,181.0,574.0,175.0,161.0,174.0,165.0,94.0,172.0,114.0,194.0,175.0,94.0,117.0,105.0
デバリオマイセス・ハンセニイ,307.0,322.0,324.0,391.0,319.0,368.0,320.0,175.0,592.0,331.0,360.0,362.0,275.0,312.0,312.0,303.0,315.0,318.0,324.0,316.0
コムギ,315.0,313.0,303.0,337.0,293.0,356.0,523.0,161.0,331.0,602.0,336.0,324.0,272.0,530.0,274.0,409.0,500.0,310.0,301.0,282.0
シンジュサン,401.0,418.0,406.0,384.0,405.0,503.0,342.0,174.0,360.0,336.0,583.0,438.0,377.0,333.0,390.0,341.0,346.0,402.0,421.0,401.0
ミミズ,370.0,402.0,389.0,381.0,380.0,460.0,324.0,165.0,362.0,324.0,438.0,584.0,355.0,321.0,360.0,341.0,343.0,393.0,399.0,374.0
モンスーンテナガエビ,417.0,442.0,436.0,295.0,425.0,401.0,262.0,94.0,275.0,272.0,377.0,355.0,554.0,260.0,399.0,258.0,253.0,426.0,431.0,412.0
トウモロコシ,301.0,294.0,284.0,338.0,292.0,353.0,549.0,172.0,312.0,530.0,333.0,321.0,260.0,582.0,288.0,433.0,504.0,287.0,294.0,269.0
カツオ,452.0,474.0,465.0,346.0,464.0,414.0,289.0,114.0,312.0,274.0,390.0,360.0,399.0,288.0,560.0,285.0,280.0,457.0,471.0,478.0
クラミドモナス,289.0,304.0,286.0,324.0,299.0,352.0,430.0,194.0,303.0,409.0,341.0,341.0,258.0,433.0,285.0,589.0,434.0,293.0,302.0,286.0
ニゲラ,296.0,293.0,286.0,344.0,282.0,361.0,522.0,175.0,315.0,500.0,346.0,343.0,253.0,504.0,280.0,434.0,578.0,289.0,293.0,265.0
ガーネットガラゴ,505.0,548.0,515.0,329.0,501.0,420.0,292.0,94.0,318.0,310.0,402.0,393.0,426.0,287.0,457.0,293.0,289.0,566.0,516.0,501.0
マガモ,509.0,533.0,514.0,345.0,533.0,441.0,297.0,117.0,324.0,301.0,421.0,399.0,431.0,294.0,471.0,302.0,293.0,516.0,563.0,508.0
アメリカウシガエル,475.0,518.0,493.0,323.0,506.0,409.0,267.0,105.0,316.0,282.0,401.0,374.0,412.0,269.0,478.0,286.0,265.0,501.0,508.0,568.0
